Date,Open,High,Low,Close
1978-12-18,4.3473,4.3473,4.3473,4.3473
1978-12-19,4.3323,4.3323,4.3323,4.3323
1978-12-20,4.319,4.319,4.319,4.319
1978-12-21,4.3483,4.3483,4.3483,4.3483
1978-12-22,4.3509,4.3509,4.3509,4.3509
1978-12-26,4.3561,4.3561,4.3561,4.3561
1978-12-27,4.2894,4.2894,4.2894,4.2894
1978-12-28,4.3045,4.3045,4.3045,4.3045
1978-12-29,4.2838,4.2838,4.2838,4.2838
1979-01-02,4.2776,4.2776,4.2776,4.2776
1979-01-03,4.3385,4.3385,4.3385,4.3385
1979-01-04,4.3359,4.3359,4.3359,4.3359
1979-01-05,4.335,4.335,4.335,4.335
1979-01-08,4.3349,4.3349,4.3349,4.3349
1979-01-09,4.3504,4.3504,4.3504,4.3504
1979-01-10,4.3385,4.3385,4.3385,4.3385
1979-01-11,4.3705,4.3705,4.3705,4.3705
1979-01-12,4.3602,4.3602,4.3602,4.3602
1979-01-15,4.3623,4.3623,4.3623,4.3623
1979-01-16,4.3489,4.3489,4.3489,4.3489
1979-01-17,4.3427,4.3427,4.3427,4.3427
1979-01-18,4.3396,4.3396,4.3396,4.3396
1979-01-19,4.3458,4.3458,4.3458,4.3458
1979-01-22,4.3582,4.3582,4.3582,4.3582
1979-01-23,4.3613,4.3613,4.3613,4.3613
1979-01-24,4.3442,4.3442,4.3442,4.3442
1979-01-25,4.3727,4.3727,4.3727,4.3727
1979-01-26,4.3691,4.3691,4.3691,4.3691
1979-01-29,4.3696,4.3696,4.3696,4.3696
1979-01-30,4.3779,4.3779,4.3779,4.3779
1979-01-31,4.4052,4.4052,4.4052,4.4052
1979-02-01,4.4079,4.4079,4.4079,4.4079
1979-02-02,4.4114,4.4114,4.4114,4.4114
1979-02-05,4.3702,4.3702,4.3702,4.3702
1979-02-06,4.3728,4.3728,4.3728,4.3728
1979-02-07,4.3333,4.3333,4.3333,4.3333
1979-02-08,4.3582,4.3582,4.3582,4.3582
1979-02-09,4.3504,4.3504,4.3504,4.3504
1979-02-13,4.3681,4.3681,4.3681,4.3681
1979-02-14,4.3681,4.3681,4.3681,4.3681
1979-02-15,4.3582,4.3582,4.3582,4.3582
1979-02-16,4.3717,4.3717,4.3717,4.3717
1979-02-20,4.3639,4.3639,4.3639,4.3639
1979-02-21,4.3764,4.3764,4.3764,4.3764
1979-02-22,4.3634,4.3634,4.3634,4.3634
1979-02-23,4.3577,4.3577,4.3577,4.3577
1979-02-26,4.3582,4.3582,4.3582,4.3582
1979-02-27,4.3655,4.3655,4.3655,4.3655
1979-02-28,4.3572,4.3572,4.3572,4.3572
1979-03-01,4.3664,4.3664,4.3664,4.3664
1979-03-02,4.3659,4.3659,4.3659,4.3659
1979-03-05,4.371,4.371,4.371,4.371
1979-03-06,4.3669,4.3669,4.3669,4.3669
1979-03-07,4.3628,4.3628,4.3628,4.3628
1979-03-08,4.3576,4.3576,4.3576,4.3576
1979-03-09,4.3607,4.3607,4.3607,4.3607
1979-03-12,4.3606,4.3606,4.3606,4.3606
1979-03-13,4.3835,4.3835,4.3835,4.3835
1979-03-14,4.3606,4.3606,4.3606,4.3606
1979-03-15,4.3621,4.3621,4.3621,4.3621
1979-03-16,4.3652,4.3652,4.3652,4.3652
1979-03-19,4.3646,4.3646,4.3646,4.3646
1979-03-20,4.3687,4.3687,4.3687,4.3687
1979-03-21,4.3793,4.3793,4.3793,4.3793
1979-03-22,4.3676,4.3676,4.3676,4.3676
1979-03-23,4.3692,4.3692,4.3692,4.3692
1979-03-26,4.3549,4.3549,4.3549,4.3549
1979-03-27,4.3707,4.3707,4.3707,4.3707
1979-03-28,4.3655,4.3655,4.3655,4.3655
1979-03-29,4.3716,4.3716,4.3716,4.3716
1979-03-30,4.364,4.364,4.364,4.364
1979-04-02,4.3871,4.3871,4.3871,4.3871
1979-04-03,4.368,4.368,4.368,4.368
1979-04-04,4.3764,4.3764,4.3764,4.3764
1979-04-05,4.3843,4.3843,4.3843,4.3843
1979-04-06,4.3898,4.3898,4.3898,4.3898
1979-04-09,4.4058,4.4058,4.4058,4.4058
1979-04-10,4.3882,4.3882,4.3882,4.3882
1979-04-11,4.3807,4.3807,4.3807,4.3807
1979-04-12,4.3917,4.3917,4.3917,4.3917
1979-04-13,4.3976,4.3976,4.3976,4.3976
1979-04-16,4.3907,4.3907,4.3907,4.3907
1979-04-17,4.399,4.399,4.399,4.399
1979-04-18,4.3955,4.3955,4.3955,4.3955
1979-04-19,4.3786,4.3786,4.3786,4.3786
1979-04-20,4.4054,4.4054,4.4054,4.4054
1979-04-23,4.3965,4.3965,4.3965,4.3965
1979-04-24,4.4009,4.4009,4.4009,4.4009
1979-04-25,4.395,4.395,4.395,4.395
1979-04-26,4.3936,4.3936,4.3936,4.3936
1979-04-27,4.4005,4.4005,4.4005,4.4005
1979-04-30,4.3975,4.3975,4.3975,4.3975
1979-05-01,4.398,4.398,4.398,4.398
1979-05-02,4.398,4.398,4.398,4.398
1979-05-03,4.3966,4.3966,4.3966,4.3966
1979-05-04,4.4013,4.4013,4.4013,4.4013
1979-05-07,4.3969,4.3969,4.3969,4.3969
1979-05-08,4.3971,4.3971,4.3971,4.3971
1979-05-09,4.3993,4.3993,4.3993,4.3993
1979-05-10,4.4032,4.4032,4.4032,4.4032
1979-05-11,4.3947,4.3947,4.3947,4.3947
1979-05-14,4.3943,4.3943,4.3943,4.3943
1979-05-15,4.3887,4.3887,4.3887,4.3887
1979-05-16,4.3851,4.3851,4.3851,4.3851
1979-05-17,4.3956,4.3956,4.3956,4.3956
1979-05-18,4.398,4.398,4.398,4.398
1979-05-21,4.3997,4.3997,4.3997,4.3997
1979-05-22,4.3917,4.3917,4.3917,4.3917
1979-05-23,4.3845,4.3845,4.3845,4.3845
1979-05-24,4.379,4.379,4.379,4.379
1979-05-25,4.3917,4.3917,4.3917,4.3917
1979-05-28,4.3947,4.3947,4.3947,4.3947
1979-05-29,4.4022,4.4022,4.4022,4.4022
1979-05-31,4.3877,4.3877,4.3877,4.3877
1979-06-01,4.3864,4.3864,4.3864,4.3864
1979-06-04,4.3724,4.3724,4.3724,4.3724
1979-06-05,4.3826,4.3826,4.3826,4.3826
1979-06-06,4.38,4.38,4.38,4.38
1979-06-07,4.3821,4.3821,4.3821,4.3821
1979-06-08,4.3846,4.3846,4.3846,4.3846
1979-06-11,4.3959,4.3959,4.3959,4.3959
1979-06-12,4.3928,4.3928,4.3928,4.3928
1979-06-13,4.3845,4.3845,4.3845,4.3845
1979-06-14,4.383,4.383,4.383,4.383
1979-06-15,4.3611,4.3611,4.3611,4.3611
1979-06-18,4.3585,4.3585,4.3585,4.3585
1979-06-19,4.332,4.332,4.332,4.332
1979-06-20,4.3228,4.3228,4.3228,4.3228
1979-06-21,4.3018,4.3018,4.3018,4.3018
1979-06-22,4.2793,4.2793,4.2793,4.2793
1979-06-25,4.2598,4.2598,4.2598,4.2598
1979-06-26,4.2794,4.2794,4.2794,4.2794
1979-06-27,4.2841,4.2841,4.2841,4.2841
1979-06-28,4.2804,4.2804,4.2804,4.2804
1979-06-29,4.2747,4.2747,4.2747,4.2747
1979-07-02,4.2665,4.2665,4.2665,4.2665
1979-07-03,4.2662,4.2662,4.2662,4.2662
1979-07-05,4.2385,4.2385,4.2385,4.2385
1979-07-06,4.244,4.244,4.244,4.244
1979-07-09,4.2689,4.2689,4.2689,4.2689
1979-07-10,4.2541,4.2541,4.2541,4.2541
1979-07-11,4.2474,4.2474,4.2474,4.2474
1979-07-12,4.242,4.242,4.242,4.242
1979-07-13,4.2306,4.2306,4.2306,4.2306
1979-07-16,4.2252,4.2252,4.2252,4.2252
1979-07-17,4.2106,4.2106,4.2106,4.2106
1979-07-18,4.1909,4.1909,4.1909,4.1909
1979-07-19,4.1948,4.1948,4.1948,4.1948
1979-07-20,4.204,4.204,4.204,4.204
1979-07-23,4.1977,4.1977,4.1977,4.1977
1979-07-24,4.1832,4.1832,4.1832,4.1832
1979-07-25,4.1978,4.1978,4.1978,4.1978
1979-07-26,4.1852,4.1852,4.1852,4.1852
1979-07-27,4.1881,4.1881,4.1881,4.1881
1979-07-30,4.2041,4.2041,4.2041,4.2041
1979-07-31,4.211,4.211,4.211,4.211
1979-08-01,4.2077,4.2077,4.2077,4.2077
1979-08-02,4.2078,4.2078,4.2078,4.2078
1979-08-03,4.2181,4.2181,4.2181,4.2181
1979-08-06,4.2083,4.2083,4.2083,4.2083
1979-08-07,4.2229,4.2229,4.2229,4.2229
1979-08-08,4.2272,4.2272,4.2272,4.2272
1979-08-09,4.2106,4.2106,4.2106,4.2106
1979-08-10,4.2087,4.2087,4.2087,4.2087
1979-08-13,4.2204,4.2204,4.2204,4.2204
1979-08-14,4.2209,4.2209,4.2209,4.2209
1979-08-15,4.2244,4.2244,4.2244,4.2244
1979-08-16,4.2232,4.2232,4.2232,4.2232
1979-08-17,4.2354,4.2354,4.2354,4.2354
1979-08-20,4.2334,4.2334,4.2334,4.2334
1979-08-21,4.2303,4.2303,4.2303,4.2303
1979-08-22,4.2265,4.2265,4.2265,4.2265
1979-08-23,4.2273,4.2273,4.2273,4.2273
1979-08-24,4.2245,4.2245,4.2245,4.2245
1979-08-27,4.2193,4.2193,4.2193,4.2193
1979-08-28,4.2188,4.2188,4.2188,4.2188
1979-08-29,4.2189,4.2189,4.2189,4.2189
1979-08-30,4.2115,4.2115,4.2115,4.2115
1979-08-31,4.2221,4.2221,4.2221,4.2221
1979-09-04,4.2168,4.2168,4.2168,4.2168
1979-09-05,4.2217,4.2217,4.2217,4.2217
1979-09-06,4.2017,4.2017,4.2017,4.2017
1979-09-07,4.1876,4.1876,4.1876,4.1876
1979-09-10,4.2011,4.2011,4.2011,4.2011
1979-09-11,4.2044,4.2044,4.2044,4.2044
1979-09-12,4.2064,4.2064,4.2064,4.2064
1979-09-13,4.2088,4.2088,4.2088,4.2088
1979-09-14,4.2214,4.2214,4.2214,4.2214
1979-09-17,4.2224,4.2224,4.2224,4.2224
1979-09-18,4.2206,4.2206,4.2206,4.2206
1979-09-19,4.2191,4.2191,4.2191,4.2191
1979-09-20,4.1701,4.1701,4.1701,4.1701
1979-09-21,4.1715,4.1715,4.1715,4.1715
1979-09-24,4.1691,4.1691,4.1691,4.1691
1979-09-25,4.171,4.171,4.171,4.171
1979-09-26,4.1657,4.1657,4.1657,4.1657
1979-09-27,4.1376,4.1376,4.1376,4.1376
1979-09-28,4.1318,4.1318,4.1318,4.1318
1979-10-01,4.1212,4.1212,4.1212,4.1212
1979-10-02,4.1449,4.1449,4.1449,4.1449
1979-10-03,4.1419,4.1419,4.1419,4.1419
1979-10-04,4.1701,4.1701,4.1701,4.1701
1979-10-05,4.1647,4.1647,4.1647,4.1647
1979-10-09,4.2047,4.2047,4.2047,4.2047
1979-10-10,4.1799,4.1799,4.1799,4.1799
1979-10-11,4.2039,4.2039,4.2039,4.2039
1979-10-12,4.2009,4.2009,4.2009,4.2009
1979-10-15,4.2141,4.2141,4.2141,4.2141
