Date,uk10_yield
19-Nov-12,1.7632
20-Nov-12,1.8312
21-Nov-12,1.8363
22-Nov-12,1.8219
23-Nov-12,1.8244
26-Nov-12,1.8201
27-Nov-12,1.8293
28-Nov-12,1.7482
29-Nov-12,1.7529
30-Nov-12,1.7501
3-Dec-12,1.8004
4-Dec-12,1.7901
5-Dec-12,1.7515
6-Dec-12,1.7396
7-Dec-12,1.7411
10-Dec-12,1.7749
11-Dec-12,1.8045
12-Dec-12,1.8253
13-Dec-12,1.8619
14-Dec-12,1.8717
17-Dec-12,1.8898
18-Dec-12,1.9599
19-Dec-12,1.9789
20-Dec-12,1.9574
21-Dec-12,1.9164
24-Dec-12,1.9183
27-Dec-12,1.8356
28-Dec-12,1.8322
31-Dec-12,1.8378
2-Jan-13,2.0017
3-Jan-13,2.085
4-Jan-13,2.1426
7-Jan-13,2.1075
8-Jan-13,2.0484
9-Jan-13,2.0474
10-Jan-13,2.1099
11-Jan-13,2.107
14-Jan-13,2.0553
15-Jan-13,2.0431
16-Jan-13,2.0286
17-Jan-13,2.0673
18-Jan-13,2.0443
21-Jan-13,2.0824
22-Jan-13,2.0546
23-Jan-13,2.0275
24-Jan-13,2.0573
25-Jan-13,2.0985
28-Jan-13,2.1371
29-Jan-13,2.1137
30-Jan-13,2.1561
31-Jan-13,2.1341
1-Feb-13,2.1331
4-Feb-13,2.1358
5-Feb-13,2.1684
6-Feb-13,2.1494
7-Feb-13,2.1565
8-Feb-13,2.1474
11-Feb-13,2.1592
12-Feb-13,2.1744
13-Feb-13,2.2711
14-Feb-13,2.2658
15-Feb-13,2.2668
18-Feb-13,2.2651
19-Feb-13,2.2554
20-Feb-13,2.2785
21-Feb-13,2.1906
22-Feb-13,2.1873
25-Feb-13,2.1872
26-Feb-13,2.0739
27-Feb-13,2.0441
28-Feb-13,2.0514
1-Mar-13,1.9638
4-Mar-13,1.991
5-Mar-13,2.0517
6-Mar-13,2.0367
7-Mar-13,2.0908
8-Mar-13,2.121
11-Mar-13,2.0848
12-Mar-13,2.0448
13-Mar-13,2.0443
14-Mar-13,2.045
15-Mar-13,2.0147
18-Mar-13,1.9682
19-Mar-13,1.9062
20-Mar-13,1.9325
21-Mar-13,1.9317
22-Mar-13,1.9163
25-Mar-13,1.8876
26-Mar-13,1.8555
27-Mar-13,1.8087
28-Mar-13,1.8401
2-Apr-13,1.8466
3-Apr-13,1.8275
4-Apr-13,1.7916
5-Apr-13,1.7052
8-Apr-13,1.7617
9-Apr-13,1.8033
10-Apr-13,1.8514
11-Apr-13,1.8491
12-Apr-13,1.809
15-Apr-13,1.7928
16-Apr-13,1.8088
17-Apr-13,1.7663
18-Apr-13,1.7487
19-Apr-13,1.7464
22-Apr-13,1.7306
23-Apr-13,1.7729
24-Apr-13,1.7698
25-Apr-13,1.8018
26-Apr-13,1.7647
29-Apr-13,1.7343
30-Apr-13,1.7478
1-May-13,1.7432
2-May-13,1.6924
3-May-13,1.8036
7-May-13,1.8694
8-May-13,1.8434
9-May-13,1.8626
10-May-13,1.9629
13-May-13,1.9583
14-May-13,1.977
15-May-13,2.0067
16-May-13,1.9535
17-May-13,1.9696
20-May-13,1.9953
21-May-13,2.0146
22-May-13,1.9802
23-May-13,1.9972
24-May-13,1.979
28-May-13,2.0382
29-May-13,2.083
30-May-13,2.0465
31-May-13,2.0944
3-Jun-13,2.0915
4-Jun-13,2.1347
5-Jun-13,2.1105
6-Jun-13,2.1281
7-Jun-13,2.1663
10-Jun-13,2.2274
11-Jun-13,2.2712
12-Jun-13,2.2512
13-Jun-13,2.2209
14-Jun-13,2.1676
17-Jun-13,2.1856
18-Jun-13,2.2364
19-Jun-13,2.2256
20-Jun-13,2.396
21-Jun-13,2.4929
24-Jun-13,2.6384
25-Jun-13,2.6049
26-Jun-13,2.5363
27-Jun-13,2.5052
28-Jun-13,2.5351
1-Jul-13,2.5161
2-Jul-13,2.4864
3-Jul-13,2.4961
4-Jul-13,2.4911
5-Jul-13,2.5845
8-Jul-13,2.5834
9-Jul-13,2.5374
10-Jul-13,2.5131
11-Jul-13,2.4873
12-Jul-13,2.4322
15-Jul-13,2.4524
16-Jul-13,2.3914
17-Jul-13,2.4134
18-Jul-13,2.3837
19-Jul-13,2.4145
22-Jul-13,2.3924
23-Jul-13,2.4295
24-Jul-13,2.5091
25-Jul-13,2.506
