Date,AusEERI,UKEERI,CadEERI,EuroEERI,JapEERI,SwisEERI,SwedEERI,USEERI
31-May-90,102.1152,93.7264,100.2438,98.9065,96.5032,101.3355,100.6367,103.9458
1-Jun-90,101.729,93.8593,100.3284,99.0043,97.2191,100.7796,100.7444,103.4569
4-Jun-90,102,93.4537,100.0316,99.1185,96.3708,100.3651,100.7387,104.1697
5-Jun-90,101.9202,93.831,100.0879,99.1243,96.3472,100.4852,100.7086,103.9519
6-Jun-90,102.2708,93.9406,100.3226,99.1795,96.2131,100.8259,100.6594,103.7265
7-Jun-90,102.8866,94.1529,100.7954,99.0329,96.2863,100.3661,100.5549,103.6784
8-Jun-90,102.6062,94.1283,100.2914,99.0342,95.9671,99.8691,100.5935,104.1521
11-Jun-90,103.1674,94.0644,100.689,99.3188,95.0824,100.3299,100.5974,104.1552
12-Jun-90,102.9218,95.0051,100.4641,99.0233,95.058,100.5516,100.5784,104.0614
13-Jun-90,102.8002,95.2812,100.454,98.8894,94.8991,100.704,100.5873,104.0712
14-Jun-90,102.8702,95.1958,100.6226,98.8718,95.244,100.8861,100.6065,103.8347
15-Jun-90,103.1178,95.2327,100.4369,98.6647,95.2814,100.3202,100.627,104.2045
18-Jun-90,103.2623,94.9678,100.358,99.2446,95.0899,100.5403,100.4838,103.7648
19-Jun-90,103.6159,95.1137,100.132,99.4883,95.0459,101.1756,100.4701,103.4627
20-Jun-90,103.7008,95.5439,100.2999,99.0675,95.0353,101.1687,100.4909,103.6394
21-Jun-90,104.5768,95.7174,100.1039,99.2044,94.4237,101.338,100.5858,103.7326
22-Jun-90,103.8918,95.9367,99.6853,99.2011,94.4007,101.2408,100.4351,103.8343
25-Jun-90,104.1337,95.9367,99.662,99.2826,94.013,101.6414,100.4916,103.8736
26-Jun-90,103.9307,96.0197,100.2559,99.1382,94.2031,101.337,100.5526,103.6294
27-Jun-90,103.9567,96.1251,100.3462,99.6047,94.3526,100.9756,100.4398,103.1576
28-Jun-90,103.4041,96.0626,100.2593,99.315,95.272,100.8284,100.466,103.039
29-Jun-90,104.0294,96.1682,100.7153,99.2624,95.7807,100.2597,100.3909,102.6632
2-Jul-90,104.0312,96.8162,100.8839,99.2888,96.1337,100.8394,100.3041,102.0827
3-Jul-90,104.2366,97.4224,100.8595,99.1994,95.8399,101.0636,100.1437,102.0414
4-Jul-90,104.4677,97.5009,100.7567,99.2356,96.7114,100.9411,99.9858,101.3777
5-Jul-90,104.1811,97.4541,100.6676,99.2335,96.1415,100.7836,100.1121,101.6908
6-Jul-90,104.0592,97.9324,100.7405,99.0307,96.0079,100.6403,100.1361,101.8142
9-Jul-90,104.3659,98.7497,101.0582,98.9032,95.8414,100.781,100.2516,101.4685
10-Jul-90,104.5577,99.0901,101.077,98.6978,97.2594,100.7405,100.1521,100.7773
11-Jul-90,103.2779,98.3048,100.9083,98.768,97.4454,100.4212,100.1672,101.0568
12-Jul-90,102.7137,98.4046,100.8955,98.4947,97.5827,100.3019,100.1497,101.4487
13-Jul-90,101.7454,98.4036,100.9808,98.7252,97.9868,100.4916,100.0371,100.7921
16-Jul-90,101.1732,98.7131,100.9921,98.5429,98.023,99.375,100.2489,101.0327
17-Jul-90,102.2519,98.9151,101.1793,98.6049,97.7018,99.5398,100.1312,100.9449
18-Jul-90,102.1113,99.2334,101.3763,98.76,98.1464,99.4454,100.0201,100.3225
19-Jul-90,101.3943,98.9993,101.2362,98.7975,97.8238,99.3817,100.1073,100.68
20-Jul-90,101.312,98.9095,101.1889,99.0018,97.0099,99.4007,100.1745,100.9171
23-Jul-90,101.2103,98.7287,101.0061,99.2984,97.0801,100.0738,100.1544,100.5435
24-Jul-90,101.102,98.5976,100.9929,99.5811,96.8295,100.2481,100.0735,100.428
25-Jul-90,101.4059,97.8847,101.3468,99.8963,96.712,100.5562,100.091,100.4287
26-Jul-90,101.2605,98.1681,101.5585,100.0075,95.5621,100.9544,100.1661,100.7147
27-Jul-90,101.6979,98.9544,101.3009,99.7888,96.1205,100.9687,99.8998,100.2485
30-Jul-90,101.6905,99.1953,101.2216,99.85,96.7421,100.8289,99.9616,99.781
31-Jul-90,100.9564,99.1129,100.8636,100.294,97.5783,100.7783,99.8294,99.0033
1-Aug-90,101.5063,99.0543,101.0525,100.4028,97.0445,100.5162,99.8909,99.2332
2-Aug-90,101.3297,99.0964,101.2911,100.4423,95.3821,100.5761,99.915,100.107
3-Aug-90,100.926,99.3682,101.1887,100.6078,95.3758,101.0844,99.8047,99.6961
6-Aug-90,101.1429,99.4976,101.2973,101.0154,95.0758,101.8185,99.7062,99.1019
7-Aug-90,101.2725,99.9048,101.3383,100.8325,94.9951,101.8745,99.3913,99.2325
8-Aug-90,102.0223,99.875,101.4366,100.2272,95.3132,101.7521,99.4732,99.6429
9-Aug-90,102.5256,100.022,101.6596,100.2018,95.2098,101.8703,99.618,99.5273
10-Aug-90,102.4046,99.9764,101.5472,100.1669,95.1308,101.7805,99.6158,99.6474
13-Aug-90,102.6166,100.0686,101.5753,100.7425,94.4184,102.9348,99.6421,99.1628
14-Aug-90,102.8208,100.1678,101.627,100.7779,94.6824,103.3314,99.6235,98.9004
15-Aug-90,102.0051,100.1744,101.5768,100.8515,96.2464,103.307,99.3747,97.8994
16-Aug-90,101.5905,100.2441,101.398,100.8139,95.73,103.2832,99.5882,98.3405
17-Aug-90,101.9482,100.7192,101.4763,100.9165,95.5014,103.8588,99.4454,97.9954
20-Aug-90,101.9506,101.0939,101.5178,100.3333,96.4368,103.8092,99.3386,97.8809
21-Aug-90,102.9255,101.1129,101.9097,100.2221,96.3887,104.3681,99.3329,97.7129
22-Aug-90,103.0986,101.3892,102.2351,100.0156,96.8157,105.1266,99.1699,97.3933
23-Aug-90,104.2871,102.3333,102.6356,99.8689,96.202,105.766,99.1962,97.1265
24-Aug-90,104.7332,102.3354,102.4449,99.7767,96.3662,105.5285,99.1993,97.1987
28-Aug-90,103.5322,102.0862,101.4304,99.8243,98.3271,104.0614,99.2208,96.8424
29-Aug-90,104.0461,102.2232,101.8472,99.7071,98.0517,103.9014,99.2547,96.9341
30-Aug-90,102.8822,101.4631,101.3615,99.657,98.0327,103.6739,99.363,97.5466
31-Aug-90,102.6134,100.2897,100.5201,99.5999,98.7343,103.4931,99.5587,98.1122
3-Sep-90,102.9397,99.5922,100.7657,99.5474,99.2012,103.1847,99.5962,98.2461
4-Sep-90,102.8633,99.7965,100.2675,99.5088,99.1535,102.9706,99.674,98.3638
5-Sep-90,103.235,100.0211,100.5892,99.715,99.9694,103.3153,99.5597,97.3956
6-Sep-90,102.6774,100.34,100.2082,99.8927,100.2671,103.0184,99.4922,97.1532
7-Sep-90,102.325,99.8421,99.6553,99.6894,101.1413,103.0195,99.6459,97.3001
10-Sep-90,101.4914,98.5588,99.1557,99.4574,102.453,102.6775,99.6983,97.61
11-Sep-90,102.6557,98.5152,99.8962,99.1768,102.1235,102.5006,99.6877,97.9791
12-Sep-90,102.0065,99.0019,99.6805,98.9149,103.5205,102.766,99.7213,97.2617
13-Sep-90,101.1527,99.1907,99.4244,98.9288,103.315,102.6168,99.6779,97.4479
14-Sep-90,102.0846,99.638,99.5301,99.2293,103.7813,103.6299,99.7151,96.3653
17-Sep-90,102.7427,99.7749,99.8372,99.4223,103.0545,103.9991,99.5004,96.2103
18-Sep-90,102.7558,100.2722,99.9072,99.55,102.7077,103.7647,99.5228,96.0787
19-Sep-90,102.852,99.3831,100.053,99.3315,103.1034,103.0204,99.6935,96.661
20-Sep-90,102.6655,98.9106,100.4381,99.0438,103.998,102.3953,99.6776,96.7473
21-Sep-90,103.0465,97.6143,100.4569,99.6405,103.9248,102.4383,99.6767,96.7419
24-Sep-90,102.681,98.7254,100.5512,99.5453,104.464,103.0379,99.4974,95.9626
25-Sep-90,102.9008,98.7099,100.7917,99.4797,103.3947,103.3365,99.5216,96.2362
26-Sep-90,103.2545,98.3407,100.4214,99.6379,103.3161,103.0137,99.5387,96.6748
27-Sep-90,103.043,98.7578,100.2222,99.6527,102.6498,102.9103,99.5059,96.9836
28-Sep-90,102.7315,98.6805,100.2541,99.6626,102.7284,103.5372,99.4979,96.8117
1-Oct-90,102.7149,98.9335,100.4352,99.9439,103.0946,103.7448,99.4514,96.0914
2-Oct-90,102.736,98.958,100.342,99.832,103.3345,103.2288,99.4904,96.2222
3-Oct-90,102.5676,99.05,100.4083,99.941,103.6797,103.3668,99.4244,95.8126
4-Oct-90,101.9697,99.1021,100.4244,100.0513,104.9986,103.314,99.376,95.0142
5-Oct-90,101.8289,101.1804,100.2076,99.7622,106.3307,102.6841,99.3248,94.6479
8-Oct-90,101.1727,102.191,99.9958,98.8305,107.605,102.3356,99.1093,93.9649
9-Oct-90,100.7905,101.5867,100.0033,99.2637,107.2496,102.4041,99.1845,93.8335
10-Oct-90,99.837,101.5552,100.083,99.1674,107.4521,102.5624,99.0919,93.7764
11-Oct-90,98.3866,101.6393,100.0149,99.0588,107.8026,101.6693,99.0449,94.0305
12-Oct-90,98.3808,101.4633,100.2554,99.3569,108.8032,101.8155,98.6297,93.2337
15-Oct-90,94.8672,100.6474,99.7065,99.6072,109.6486,101.592,98.9601,93.3499
16-Oct-90,94.6321,100.4691,99.3802,99.7614,109.5267,101.7309,98.888,93.2992
17-Oct-90,92.7854,100.5828,98.4937,99.725,111.6232,101.8756,98.6354,92.6428
18-Oct-90,91.9664,100.0619,97.3434,99.8551,111.756,101.8761,98.8276,93.0589
19-Oct-90,93.5617,100.0455,98.1768,100.1765,110.632,101.8534,98.8504,92.9165
22-Oct-90,93.4329,100.0168,97.839,99.9739,110.8584,101.5508,99.0256,93.2152
23-Oct-90,93.3094,100.0515,98.0813,99.9014,110.1134,101.6485,99.1289,93.539
24-Oct-90,93.7807,100.1643,98.3787,100.1715,109.3241,102.0362,99.0629,93.4171
25-Oct-90,93.9972,100.2075,98.4257,100.107,110.3054,101.8363,99.0472,93.0309
26-Oct-90,93.9795,100.4905,98.6804,99.9164,109.5307,101.6213,98.9334,93.4645
29-Oct-90,94.1622,100.4094,98.7243,100.08,109.2171,101.5336,98.8806,93.4754
30-Oct-90,94.3582,100.2946,98.5771,99.9126,108.6191,101.1859,98.9393,94.0518
31-Oct-90,94.761,100.0337,98.4597,100.3158,108.2334,101.4619,98.9906,93.9253
1-Nov-90,94.8641,100.0994,98.6405,100.7951,107.1746,101.4002,98.8329,93.9501
2-Nov-90,93.5109,99.8075,98.6031,100.734,108.6269,101.9675,98.9497,93.3461
5-Nov-90,93.3186,99.9558,99.0845,100.7281,109.6284,102.2115,98.8483,92.6459
6-Nov-90,93.797,100.0928,98.7762,100.9483,109.3252,102.8959,98.8678,92.4506
7-Nov-90,92.8439,100.1171,98.6856,101.2025,108.6516,103.0292,98.9,92.554
