Date,EURIBOR,SONIA
9-Mar-00,3.714,5.7663
10-Mar-00,3.779,5.4667
13-Mar-00,3.779,5.4238
14-Mar-00,3.786,5.2997
15-Mar-00,3.794,5.2697
16-Mar-00,3.805,5.1976
17-Mar-00,3.771,6.2567
20-Mar-00,3.769,5.7718
21-Mar-00,3.766,6.1537
22-Mar-00,3.766,6.5235
23-Mar-00,3.767,5.6885
24-Mar-00,3.772,5.4785
27-Mar-00,3.797,5.4679
28-Mar-00,3.812,5.3095
29-Mar-00,3.821,5.5004
30-Mar-00,3.834,5.7661
31-Mar-00,3.831,5.7179
3-Apr-00,3.833,5.6914
4-Apr-00,3.834,5.5847
5-Apr-00,3.832,5.3954
6-Apr-00,3.834,5.8267
7-Apr-00,3.861,5.8689
10-Apr-00,3.876,6.1592
11-Apr-00,3.901,6.1984
12-Apr-00,3.917,5.935
13-Apr-00,3.923,5.8132
14-Apr-00,3.92,5.6068
17-Apr-00,3.918,5.8734
18-Apr-00,3.937,5.9436
19-Apr-00,3.948,6.4177
20-Apr-00,3.963,6.2604
25-Apr-00,3.998,5.9393
26-Apr-00,4.036,6.0767
27-Apr-00,4.03,6.3859
28-Apr-00,4.094,5.8485
2-May-00,4.104,5.717
3-May-00,4.183,5.5954
4-May-00,4.289,6.1485
5-May-00,4.323,5.8867
8-May-00,4.314,5.7085
9-May-00,4.319,5.7223
10-May-00,4.303,5.7731
11-May-00,4.288,6.0756
12-May-00,4.328,6.3722
15-May-00,4.329,5.9116
16-May-00,4.336,6.3565
17-May-00,4.432,5.8053
18-May-00,4.476,5.6339
19-May-00,4.461,5.6976
22-May-00,4.481,6.1507
23-May-00,4.471,6.3281
24-May-00,4.448,5.8
25-May-00,4.428,6.0279
26-May-00,4.397,5.6527
30-May-00,4.401,5.8159
31-May-00,4.453,5.9768
1-Jun-00,4.467,5.7501
2-Jun-00,4.465,5.6895
5-Jun-00,4.427,5.6545
6-Jun-00,4.427,5.5374
7-Jun-00,4.412,6.2445
8-Jun-00,4.416,6.5592
9-Jun-00,4.552,5.5629
12-Jun-00,4.549,5.7222
13-Jun-00,4.548,5.7503
14-Jun-00,4.534,5.6151
15-Jun-00,4.506,6.2218
16-Jun-00,4.476,5.5817
19-Jun-00,4.47,5.6417
20-Jun-00,4.486,6.212
21-Jun-00,4.518,5.7432
22-Jun-00,4.518,6.5069
23-Jun-00,4.529,6.7775
26-Jun-00,4.544,5.7092
27-Jun-00,4.551,5.7257
28-Jun-00,4.547,6.3515
29-Jun-00,4.548,6.0537
30-Jun-00,4.547,5.2592
3-Jul-00,4.551,5.3602
4-Jul-00,4.547,5.7605
5-Jul-00,4.544,5.581
6-Jul-00,4.535,6.0046
7-Jul-00,4.538,5.5963
10-Jul-00,4.537,5.7229
11-Jul-00,4.539,5.7648
12-Jul-00,4.541,6.6081
13-Jul-00,4.548,6.6004
14-Jul-00,4.558,5.7441
17-Jul-00,4.562,5.8204
18-Jul-00,4.566,6.1991
19-Jul-00,4.625,6.4737
20-Jul-00,4.636,6.7766
21-Jul-00,4.624,6.3387
24-Jul-00,4.624,5.6143
25-Jul-00,4.626,5.6898
26-Jul-00,4.631,5.8457
27-Jul-00,4.63,6.5343
28-Jul-00,4.638,5.8396
31-Jul-00,4.641,5.8457
1-Aug-00,4.636,5.6508
2-Aug-00,4.639,5.6139
3-Aug-00,4.642,6.2961
4-Aug-00,4.644,6.2903
7-Aug-00,4.639,5.7439
8-Aug-00,4.637,5.8561
9-Aug-00,4.644,5.7512
10-Aug-00,4.648,5.6104
11-Aug-00,4.711,6.1151
14-Aug-00,4.784,6.5434
15-Aug-00,4.786,5.7008
16-Aug-00,4.824,5.6076
17-Aug-00,4.841,5.486
18-Aug-00,4.832,5.4545
21-Aug-00,4.844,5.7207
22-Aug-00,4.871,5.7353
23-Aug-00,4.87,6.3423
24-Aug-00,4.864,5.7816
25-Aug-00,4.919,5.9821
29-Aug-00,4.915,6.7793
30-Aug-00,4.893,5.7057
31-Aug-00,4.888,5.6946
1-Sep-00,4.829,5.7317
4-Sep-00,4.816,5.7728
5-Sep-00,4.824,5.8285
6-Sep-00,4.833,5.5902
7-Sep-00,4.87,6.4061
8-Sep-00,4.86,6.4372
11-Sep-00,4.863,6.3456
12-Sep-00,4.846,6.6734
13-Sep-00,4.846,6.6507
14-Sep-00,4.831,6.6845
15-Sep-00,4.809,5.8551
18-Sep-00,4.816,5.7532
19-Sep-00,4.816,6.1462
20-Sep-00,4.818,6.0441
21-Sep-00,4.815,6.0071
22-Sep-00,4.811,5.7305
25-Sep-00,4.827,5.7511
26-Sep-00,4.884,6.2992
27-Sep-00,4.885,6.5419
28-Sep-00,4.999,6.2138
29-Sep-00,4.996,6.1806
2-Oct-00,4.991,5.7862
3-Oct-00,4.985,6.1583
4-Oct-00,4.981,5.9853
5-Oct-00,4.981,5.6515
6-Oct-00,5.021,6.0713
9-Oct-00,5.02,6.1413
10-Oct-00,5.016,6.4857
11-Oct-00,5.007,5.6243
12-Oct-00,5.007,5.4973
13-Oct-00,4.99,5.5305
16-Oct-00,5.032,5.7227
17-Oct-00,5.018,5.5811
18-Oct-00,5.016,5.6645
19-Oct-00,5.025,5.5915
20-Oct-00,5.039,5.4647
23-Oct-00,5.064,5.9051
24-Oct-00,5.1,6.14
25-Oct-00,5.103,5.8122
26-Oct-00,5.125,5.7414
27-Oct-00,5.138,5.6664
30-Oct-00,5.138,5.6881
31-Oct-00,5.9876,5.9876
1-Nov-00,5.137,5.7099
2-Nov-00,5.125,5.9551
3-Nov-00,5.125,5.9764
6-Nov-00,5.119,5.6278
7-Nov-00,5.119,6.145
8-Nov-00,5.122,5.7274
9-Nov-00,5.123,6.0743
10-Nov-00,5.122,5.8131
13-Nov-00,5.106,6.2153
14-Nov-00,5.085,6.4767
15-Nov-00,5.085,5.7783
16-Nov-00,5.062,6.0051
17-Nov-00,5.062,6.2271
20-Nov-00,5.07,6.4222
21-Nov-00,5.07,6.0442
22-Nov-00,5.049,5.6807
23-Nov-00,5.07,6.4158
24-Nov-00,5.075,5.7856
27-Nov-00,5.075,5.6149
28-Nov-00,5.074,5.8959
29-Nov-00,5.069,5.6882
