Date,uk_ftse
11-Apr-13,"6,416.14"
10-Apr-13,"6,387.37"
9-Apr-13,"6,313.21"
8-Apr-13,"6,276.94"
5-Apr-13,"6,249.78"
4-Apr-13,"6,344.12"
3-Apr-13,"6,420.28"
2-Apr-13,"6,490.66"
28-Mar-13,"6,411.74"
27-Mar-13,"6,387.56"
26-Mar-13,"6,399.37"
25-Mar-13,"6,378.38"
22-Mar-13,"6,392.76"
21-Mar-13,"6,388.55"
20-Mar-13,"6,432.70"
19-Mar-13,"6,441.32"
18-Mar-13,"6,457.92"
15-Mar-13,"6,489.65"
14-Mar-13,"6,529.41"
13-Mar-13,"6,481.50"
12-Mar-13,"6,510.62"
11-Mar-13,"6,503.63"
8-Mar-13,"6,483.58"
7-Mar-13,"6,439.16"
6-Mar-13,"6,427.64"
5-Mar-13,"6,431.95"
4-Mar-13,"6,345.63"
1-Mar-13,"6,378.60"
28-Feb-13,"6,360.81"
27-Feb-13,"6,325.88"
26-Feb-13,"6,270.44"
25-Feb-13,"6,355.37"
22-Feb-13,"6,335.70"
21-Feb-13,"6,291.54"
20-Feb-13,"6,395.37"
19-Feb-13,"6,379.07"
18-Feb-13,"6,318.19"
15-Feb-13,"6,328.26"
14-Feb-13,"6,327.36"
13-Feb-13,"6,359.11"
12-Feb-13,"6,338.38"
11-Feb-13,"6,277.06"
8-Feb-13,"6,263.93"
7-Feb-13,"6,228.42"
6-Feb-13,"6,295.34"
5-Feb-13,"6,282.76"
4-Feb-13,"6,246.84"
1-Feb-13,"6,347.24"
31-Jan-13,"6,276.88"
30-Jan-13,"6,323.11"
29-Jan-13,"6,339.19"
28-Jan-13,"6,294.41"
25-Jan-13,"6,284.45"
24-Jan-13,"6,264.91"
23-Jan-13,"6,197.64"
22-Jan-13,"6,179.17"
21-Jan-13,"6,180.98"
18-Jan-13,"6,154.41"
17-Jan-13,"6,132.36"
16-Jan-13,"6,103.98"
15-Jan-13,"6,117.31"
14-Jan-13,"6,107.86"
11-Jan-13,"6,121.58"
10-Jan-13,"6,101.51"
9-Jan-13,"6,098.65"
8-Jan-13,"6,053.63"
7-Jan-13,"6,064.58"
4-Jan-13,"6,089.84"
3-Jan-13,"6,047.34"
2-Jan-13,"6,027.37"
31-Dec-12,"5,897.81"
28-Dec-12,"5,925.37"
27-Dec-12,"5,954.30"
24-Dec-12,"5,954.18"
21-Dec-12,"5,939.99"
20-Dec-12,"5,958.34"
19-Dec-12,"5,961.59"
18-Dec-12,"5,935.90"
17-Dec-12,"5,912.15"
14-Dec-12,"5,921.76"
13-Dec-12,"5,929.61"
12-Dec-12,"5,945.85"
11-Dec-12,"5,924.97"
10-Dec-12,"5,921.63"
7-Dec-12,"5,914.40"
6-Dec-12,"5,901.42"
5-Dec-12,"5,892.08"
4-Dec-12,"5,869.04"
3-Dec-12,"5,871.24"
30-Nov-12,"5,866.82"
29-Nov-12,"5,870.30"
28-Nov-12,"5,803.28"
27-Nov-12,"5,799.71"
26-Nov-12,"5,786.72"
23-Nov-12,"5,819.14"
22-Nov-12,"5,791.03"
21-Nov-12,"5,752.03"
20-Nov-12,"5,748.10"
19-Nov-12,"5,737.66"
16-Nov-12,"5,605.59"
15-Nov-12,"5,677.75"
14-Nov-12,"5,722.01"
13-Nov-12,"5,786.25"
12-Nov-12,"5,767.27"
9-Nov-12,"5,769.68"
8-Nov-12,"5,776.05"
7-Nov-12,"5,791.63"
6-Nov-12,"5,884.90"
5-Nov-12,"5,839.06"
2-Nov-12,"5,868.55"
1-Nov-12,"5,861.92"
31-Oct-12,"5,782.70"
30-Oct-12,"5,849.90"
29-Oct-12,"5,795.10"
26-Oct-12,"5,806.71"
25-Oct-12,"5,805.05"
24-Oct-12,"5,804.78"
23-Oct-12,"5,797.91"
22-Oct-12,"5,882.91"
19-Oct-12,"5,896.15"
18-Oct-12,"5,917.05"
17-Oct-12,"5,910.91"
16-Oct-12,"5,870.54"
15-Oct-12,"5,805.61"
12-Oct-12,"5,793.32"
11-Oct-12,"5,829.75"
10-Oct-12,"5,776.71"
9-Oct-12,"5,810.25"
8-Oct-12,"5,841.74"
5-Oct-12,"5,871.02"
4-Oct-12,"5,827.78"
3-Oct-12,"5,825.81"
2-Oct-12,"5,809.45"
1-Oct-12,"5,820.45"
28-Sep-12,"5,742.07"
27-Sep-12,"5,779.42"
26-Sep-12,"5,768.09"
25-Sep-12,"5,859.71"
24-Sep-12,"5,838.84"
21-Sep-12,"5,852.62"
20-Sep-12,"5,854.64"
19-Sep-12,"5,888.48"
18-Sep-12,"5,868.16"
17-Sep-12,"5,893.52"
14-Sep-12,"5,915.55"
13-Sep-12,"5,819.92"
12-Sep-12,"5,782.08"
11-Sep-12,"5,792.19"
10-Sep-12,"5,793.20"
7-Sep-12,"5,794.80"
6-Sep-12,"5,777.34"
5-Sep-12,"5,657.86"
4-Sep-12,"5,672.01"
3-Sep-12,"5,758.41"
31-Aug-12,"5,711.48"
30-Aug-12,"5,719.45"
29-Aug-12,"5,743.53"
28-Aug-12,"5,775.71"
24-Aug-12,"5,776.60"
23-Aug-12,"5,776.60"
22-Aug-12,"5,774.20"
21-Aug-12,"5,857.52"
20-Aug-12,"5,824.37"
17-Aug-12,"5,852.42"
16-Aug-12,"5,834.51"
15-Aug-12,"5,833.04"
14-Aug-12,"5,864.78"
13-Aug-12,"5,831.88"
10-Aug-12,"5,847.11"
9-Aug-12,"5,851.51"
8-Aug-12,"5,845.92"
7-Aug-12,"5,841.24"
6-Aug-12,"5,808.77"
3-Aug-12,"5,787.28"
2-Aug-12,"5,662.30"
1-Aug-12,"5,712.82"
31-Jul-12,"5,635.28"
30-Jul-12,"5,693.63"
27-Jul-12,"5,627.21"
26-Jul-12,"5,573.16"
25-Jul-12,"5,498.32"
24-Jul-12,"5,499.23"
23-Jul-12,"5,533.87"
20-Jul-12,"5,651.77"
19-Jul-12,"5,714.19"
18-Jul-12,"5,685.77"
17-Jul-12,"5,629.09"
16-Jul-12,"5,662.43"
